"Industry","Stocks","Ticker","Investment_Holdings","Amount"
"Pharmaceutical","Aytu Bioscience","AYTU","NASDAQ",625
"Pharmaceutical","Cansino Biologics Inc","6185","HKG",625
"agriculture-company","Olam International","O32","SGX",625
"agriculture-company","Japfa","UD2","SGX",625
"Groceries","Sheng Siong","OV8","SGX",625
"Groceries","Dairy Farm","D01","SGX",625
"video conferencing-tech","Microsoft","MSFT","NASDAQ",1250
"video conferencing","Zoom","ZM","NASDAQ",1250
"food delivery service","Uber","UBER","NYSE",1250
"ecommerce","Alibaba Group","BABA","NYSE",625
"ecommerce","Shopify","SHOP","NYSE",625
"personal and healthcare","Johnson & Johnson","JNJ","NYSE",625
"personal and healthcare","Reckitt Benckiser Group Plc","RB","LON",625
